id,name,sku,groupName,price,gstPercentage,hsnCode,stockQuantity,bottlesPerCrate,isActive
1,"200ML ORANGE",,"ORANGE",0,18,,100,24,TRUE
2,"500ML ORANGE",,"ORANGE",0,18,,100,24,TRUE
3,"1L ORANGE",,"ORANGE",0,18,,100,24,TRUE
4,"2L ORANGE",,"ORANGE",0,18,,100,24,TRUE
6,"200 ML LEMON",,"LEMON",0,18,,100,24,TRUE
7,"500ML LEMON (24PCS)",,"LEMON",0,18,,100,24,TRUE
8,"LEMON 1L (12 PCS)",,"LEMON",0,18,,100,24,TRUE
9,"LEMON 2L (9PCS)",,"LEMON",0,18,,100,24,TRUE
10,"LEMON TIN(24PCS)",,"LEMON",0,18,,100,24,TRUE
11,"ORANGE TIN (24PCS)",,"ORANGE",0,18,,100,24,TRUE
12,"COKE TIN(24PCS)",,"COKE",0,18,,100,24,TRUE
13,"COKE 200ML(30PCS)",,"COKE",0,18,,100,24,TRUE
14,"COKE 500ML(24PCS)",,"COKE",0,18,,100,24,TRUE
15,"COKE 1L(12PCS)",,"COKE",0,18,,100,24,TRUE
16,"COKE 2L(9PCS)",,"COKE",0,18,,100,24,TRUE
17,"200ML MANGO (30PCS)",,"MANGO",0,18,,100,24,TRUE
19,"150 ML MIXED FRUIT(30PCS)",,"MIXED FRUIT",0,18,,100,24,TRUE
20,"POWER UP 200ML (30PCS)",,"POWER UP",0,18,,100,24,TRUE
21,"POWER UP 1L(12PCS)",,"POWER UP",0,18,,100,24,TRUE
22,"150ML STRAWBERRY KICK(30PCS)",,"ENERGY DRINK",0,18,,100,24,TRUE
23,"250ML ENERGY BERRY KICK(30PCS)",,"ENERGY DRINK",0,18,,100,24,TRUE
24,"SUNCRUSH ORANGE 200ML(24PCS)",,"SUNCRUSH",0,18,,100,24,TRUE
25,"SUNCRUSH MANGO(24PCS)",,"SUNCRUSH",0,18,,100,24,TRUE
26,"SUNCRUSH MIXED FRUIT (24PCS)",,"SUNCRUSH",0,18,,100,24,TRUE
27,"CHOCO MILKSHAKE(30PCS)",,"MILKSHAKE",0,18,,100,24,TRUE
28,"750ml INDEPENDENCE WATER (15PCS)",,"INDEPENDENCE WATER",0,18,,100,24,TRUE
29,"1.5l INDEPENDENCE",,"INDEPENDENCE WATER",0,18,,100,24,TRUE
30,"1L a Sure water",,"A SURE WATER",0,18,,100,24,TRUE
31,"200ML PANNER SODA(30PCS)",,"PANNEER SODA",0,18,,100,24,TRUE
32,"gluco energy cup",,"RASKIK GLUCO CUP",0,18,,100,24,TRUE
33,"gluco nimbu paani",,"RASKIK GLUCO CUP",0,18,,100,24,TRUE
34,"ENERGY GOLD TIN",,"ENERGY DRINK",0,18,,100,24,TRUE
35,"500ML MANGO",,"MANGO",0,18,,100,24,TRUE
36,"500ml panner soda",,"PANNEER SODA",0,18,,100,24,TRUE
37,"Nimbu paani pet",,"RASKIK GLUCO CUP",0,18,,100,24,TRUE
38,"500ml soda",,"SODA",0,18,,100,24,TRUE
39,"2.25l lemon",,"LEMON",0,18,,100,24,TRUE
40,"2.25 orange",,"ORANGE",0,18,,100,24,TRUE
41,"2.25 coke",,"COKE",0,18,,100,24,TRUE
42,"gluco energy pet",,"RASKIK GLUCO CUP",0,18,,100,24,TRUE
43,"150ml apple pet",,"MIXED FRUIT",0,18,,100,24,TRUE
