id,cancelledOrderId,productId,productName,quantity,pricePerUnit,totalPrice,taxAmount,netAmount,createdAt,updatedAt
1,1,30,1L a Sure water CASE,30,90.48,2714.4,0.0,2714.4,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
2,1,1,200ML ORANGE CASE,5,137.14,685.7,0.0,685.7,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
3,1,27,CHOCO MILKSHAKE(30PCS) SINGLE,150,22.86,3429.0,0.0,3429.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
4,1,13,COKE 200ML(30PCS) CASE,6,137.14,822.8,0.0,822.8,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
5,1,14,COKE 500ML(24PCS) CASE,1,244.29,244.3,0.0,244.3,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
6,1,12,COKE TIN(24PCS) SINGLE,240,12.86,3086.4,0.0,3086.4,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
7,1,10,LEMON TIN(24PCS) SINGLE,240,12.86,3086.4,0.0,3086.4,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
8,1,11,ORANGE TIN (24PCS) SINGLE,240,12.86,3086.4,0.0,3086.4,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
9,1,25,SUNCRUSH MANGO(24PCS) SINGLE,120,14.29,1714.8,0.0,1714.8,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
10,1,26,SUNCRUSH MIXED FRUIT (24PCS) SINGLE,120,14.29,1714.8,0.0,1714.8,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
11,1,24,SUNCRUSH ORANGE 200ML(24PCS) SINGLE,120,14.29,1714.8,0.0,1714.8,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00
12,2,29,1.5l INDEPENDENCE CASE,5,102.86,514.3,0.0,514.3,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
13,2,19,150 ML MIUXED FRUIT(30PCS) CASE,5,200.0,1000.0,0.0,1000.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
14,2,22,150ML STRAWBERRY KICK(30PCS) CASE,5,150.0,750.0,0.0,750.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
15,2,3,1L ORANGE CASE,1,282.86,282.9,0.0,282.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
16,2,3,1L ORANGE SINGLE,7,23.57,165.0,0.0,165.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
17,2,30,1L a Sure water CASE,15,114.29,1714.3,0.0,1714.3,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
18,2,6,200 ML LEMON CASH 30PCS,10,150.0,1500.0,0.0,1500.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
19,2,17,200ML MANGO (30PCS) CASE,10,200.0,2000.0,0.0,2000.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
20,2,1,200ML ORANGE CASE,10,150.0,1500.0,0.0,1500.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
21,2,31,200ML PANNER SODA(30PCS) CASE,10,150.0,1500.0,0.0,1500.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
22,2,23,250ML ENERGY BERRY KICK(30PCS) CASE,3,342.86,1028.6,0.0,1028.6,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
23,2,4,2L ORANGE SINGLE,8,44.29,354.3,0.0,354.3,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
24,2,7,500ML LEMON (24PCS) CASE,4,257.14,1028.6,0.0,1028.6,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
25,2,35,500ML MANGO CASE,2,342.86,685.7,0.0,685.7,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
26,2,2,500ML ORANGE CASE,4,257.14,1028.6,0.0,1028.6,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
27,2,28,750ml INDEPENDENCE WATER (15PCS) SINGLE,13,5.71,74.2,0.0,74.2,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
28,2,15,COKE 1L(12PCS) CASE,1,282.86,282.9,0.0,282.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
29,2,15,COKE 1L(12PCS) SINGLE,10,23.57,235.7,0.0,235.7,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
30,2,16,COKE 2L(9PCS) SINGLE,8,44.29,354.3,0.0,354.3,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
31,2,14,COKE 500ML(24PCS) CASE,4,257.14,1028.6,0.0,1028.6,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
32,2,12,COKE TIN(24PCS) CASE,4,342.86,1371.4,0.0,1371.4,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
33,2,12,COKE TIN(24PCS) SINGLE,10,14.29,142.9,0.0,142.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
34,2,34,ENERGY GOLD TIN CASE,4,428.57,1714.3,0.0,1714.3,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
35,2,34,ENERGY GOLD TIN SINGLE,15,17.86,267.9,0.0,267.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
36,2,8,LEMON 1L (12 PCS) CASE,1,282.86,282.9,0.0,282.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
37,2,8,LEMON 1L (12 PCS) SINGLE,5,23.57,117.8,0.0,117.8,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
38,2,9,LEMON 2L (9PCS) SINGLE,8,44.29,354.3,0.0,354.3,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
39,2,10,LEMON TIN(24PCS) CASE,4,342.86,1371.4,0.0,1371.4,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
40,2,10,LEMON TIN(24PCS) SINGLE,18,14.29,257.2,0.0,257.2,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
41,2,11,ORANGE TIN (24PCS) CASE,4,342.86,1371.4,0.0,1371.4,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
42,2,11,ORANGE TIN (24PCS) SINGLE,21,14.29,300.1,0.0,300.1,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
43,2,21,POWER UP 1L(12PCS) CASE,1,282.86,282.9,0.0,282.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
44,2,20,POWER UP 200ML (30PCS) CASE,10,150.0,1500.0,0.0,1500.0,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
45,2,25,SUNCRUSH MANGO(24PCS) CASE,4,365.71,1462.8,0.0,1462.8,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
46,2,26,SUNCRUSH MIXED FRUIT (24PCS) CASE,4,365.71,1462.8,0.0,1462.8,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
47,2,24,SUNCRUSH ORANGE 200ML(24PCS) CASE,4,365.71,1462.8,0.0,1462.8,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
48,2,32,gluco energy cup CASE,3,142.86,428.6,0.0,428.6,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
49,2,33,gluco nimbu paani CASE,2,142.86,285.7,0.0,285.7,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
50,2,33,gluco nimbu paani SINGLE,22,5.95,130.9,0.0,130.9,2025-12-17 00:00:00+00,2025-12-17 00:00:00+00
51,3,29,1.5l INDEPENDENCE CASE,5,102.86,514.3,0.0,514.3,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
52,3,22,150ML STRAWBERRY KICK(30PCS) CASE,5,150.0,750.0,0.0,750.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
53,3,3,1L ORANGE CASE,1,282.86,282.9,0.0,282.9,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
54,3,30,1L a Sure water CASE,12,114.29,1371.5,0.0,1371.5,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
55,3,6,200 ML LEMON CASH 30PCS,10,150.0,1500.0,0.0,1500.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
56,3,17,200ML MANGO (30PCS) CASE,10,200.0,2000.0,0.0,2000.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
57,3,1,200ML ORANGE CASE,10,150.0,1500.0,0.0,1500.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
58,3,31,200ML PANNER SODA(30PCS) CASE,10,150.0,1500.0,0.0,1500.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
59,3,23,250ML ENERGY BERRY KICK(30PCS) CASE,2,342.86,685.7,0.0,685.7,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
60,3,4,2L ORANGE SINGLE,7,44.29,310.0,0.0,310.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
61,3,7,500ML LEMON (24PCS) CASE,2,257.14,514.3,0.0,514.3,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
62,3,35,500ML MANGO CASE,2,342.86,685.7,0.0,685.7,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
63,3,2,500ML ORANGE CASE,2,257.14,514.3,0.0,514.3,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
64,3,28,750ml INDEPENDENCE WATER (15PCS) SINGLE,13,5.71,74.2,0.0,74.2,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
65,3,27,CHOCO MILKSHAKE(30PCS) CASE,2,714.29,1428.6,0.0,1428.6,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
66,3,15,COKE 1L(12PCS) CASE,1,282.86,282.9,0.0,282.9,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
67,3,13,COKE 200ML(30PCS) CASE,10,150.0,1500.0,0.0,1500.0,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
68,3,16,COKE 2L(9PCS) SINGLE,6,44.29,265.7,0.0,265.7,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
69,3,14,COKE 500ML(24PCS) CASE,2,257.14,514.3,0.0,514.3,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
70,3,12,COKE TIN(24PCS) CASE,4,342.86,1371.4,0.0,1371.4,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
71,3,34,ENERGY GOLD TIN CASE,4,428.57,1714.3,0.0,1714.3,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
72,3,8,LEMON 1L (12 PCS) CASE,1,282.86,282.9,0.0,282.9,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
73,3,9,LEMON 2L (9PCS) SINGLE,6,44.29,265.7,0.0,265.7,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
74,3,10,LEMON TIN(24PCS) CASE,4,342.86,1371.4,0.0,1371.4,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
75,3,11,ORANGE TIN (24PCS) CASE,4,342.86,1371.4,0.0,1371.4,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
76,3,21,POWER UP 1L(12PCS) CASE,1,282.86,282.9,0.0,282.9,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
77,3,25,SUNCRUSH MANGO(24PCS) CASE,4,365.71,1462.8,0.0,1462.8,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
78,3,26,SUNCRUSH MIXED FRUIT (24PCS) CASE,4,365.71,1462.8,0.0,1462.8,2025-12-18 00:00:00+00,2025-12-18 00:00:00+00
