id,amount,paymentMode,transactionId,paymentDate,createdAt,updatedAt,invoiceId,collectedById,paymentReference,retailerName,paymentDetails
4650,210.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:07:23.563Z,22,,1,SREE MATHI STORE (goodown opposite),
4651,630.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:01:22.302Z,2,,2,NEW SUPREME BAKERY,
4652,460.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:06:58.533Z,3,,3,SKN STORES,
4653,410.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:09:58.580Z,24,,4,THAMILAN KARUPATTI COFFEE,
4654,1000.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T17:55:11.075Z,5,,5,HOTEL LAURA,
4655,100.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T17:52:11.572Z,21,,6,"BALA SHASTHA STORE(VANNARPETTAI, AATRU PALAM)",
4656,200.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:03:36.288Z,20,,7,REKHA STORES(VANNAPETTAI) SALAI STREET,
4657,2200.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:05:13.316Z,30,,8,SATHYAS CAFE REDDIARPATTI,
4658,500.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T17:55:11.221Z,5,,9,HOTEL LAURA,
4659,300.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:06:58.691Z,3,,10,SKN STORES,
4660,400.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:03:58.329Z,29,,11,S.K ARYA TEA STALL(VANNARAPETTAI),
4661,400.00,Cash,,2025-12-15T00:00:00.000Z,2026-03-12T17:01:37.574Z,2026-03-12T18:09:58.718Z,24,,12,THAMILAN KARUPATTI COFFEE,
