id,quantity,pricePerUnit,totalPrice,createdAt,updatedAt,orderId,productId,taxAmount,netAmount,productName
1,1,200.0,200.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,,0.0,200.0,150 ML MIUXED FRUIT(30PCS) CASE
2,5,23.6,117.8,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,3.0,0.0,117.8,1L ORANGE SINGLE
3,1,150.0,150.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,6.0,0.0,150.0,200 ML LEMON CASH 30PCS
4,1,200.0,200.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,17.0,0.0,200.0,200ML MANGO (30PCS) CASE
5,1,150.0,150.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,1.0,0.0,150.0,200ML ORANGE CASE
6,2,150.0,300.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,31.0,0.0,300.0,200ML PANNER SODA(30PCS) CASE
7,2,44.3,88.6,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,4.0,0.0,88.6,2L ORANGE SINGLE
8,1,257.1,257.1,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,7.0,0.0,257.1,500ML LEMON (24PCS) CASE
9,1,257.1,257.1,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,2.0,0.0,257.1,500ML ORANGE CASE
10,2,85.7,171.4,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,28.0,0.0,171.4,750ml INDEPENDENCE WATER (15PCS) CASE
11,1,714.3,714.3,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,27.0,0.0,714.3,CHOCO MILKSHAKE(30PCS) CASE
12,1,150.0,150.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,13.0,0.0,150.0,COKE 200ML(30PCS) CASE
13,1,342.9,342.9,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,12.0,0.0,342.9,COKE TIN(24PCS) CASE
14,7,23.6,165.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,8.0,0.0,165.0,LEMON 1L (12 PCS) SINGLE
15,2,44.3,88.6,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,9.0,0.0,88.6,LEMON 2L (9PCS) SINGLE
16,1,342.9,342.9,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,10.0,0.0,342.9,LEMON TIN(24PCS) CASE
17,1,342.9,342.9,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,11.0,0.0,342.9,ORANGE TIN (24PCS) CASE
18,1,150.0,150.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,20.0,0.0,150.0,POWER UP 200ML (30PCS) CASE
19,1,365.7,365.7,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,25.0,0.0,365.7,SUNCRUSH MANGO(24PCS) CASE
20,1,365.7,365.7,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,26.0,0.0,365.7,SUNCRUSH MIXED FRUIT (24PCS) CASE
21,1,365.7,365.7,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,1,24.0,0.0,365.7,SUNCRUSH ORANGE 200ML(24PCS) CASE
22,3,200.0,600.0,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,2,17.0,0.0,600.0,200ML MANGO (30PCS) CASE
23,45,11.4,514.4,2025-12-15 00:00:00+00,2025-12-15 00:00:00+00,4,29.0,0.0,514.4,1.5l INDEPENDENCE SINGLE
