id,shopName,ownerName,phone,address,gpsLatitude,gpsLongitude,creditBalance,isActive,createdAt,updatedAt,externalId,routeName
1,A S MANIAN JUNCTION,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
2,"A-ONE tea shop(STC college road, perumalpuram)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
3,A.K. PALAMUTHIR SOLAI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
4,A.M ANIFA STORE MANUR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
5,A.R.RAHMAN STORE NORTH BALA BHAKYA NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
6,A.S BALAN (GOODOWN ROAD),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
7,"A.S FRUITS HOUSE, GOPALASAMUTHRAM ROAD",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
8,AAJES TEA STALL(KRISHNA HOSPITAL OPPOSITE),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
9,"AAMIRI STORE, MELAPALAYAM HAMIMPURAM 7TH STREET",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
10,AANDAVAR TEA STALL(ROSEMARY HOSPITAL OPP),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
11,AARON RESTAURANT(VV.M CHATRAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
12,AATHIL STORE BILAL PALLIVVASAL SANKAR NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
13,"AAVIN AGENCY AND STORE, AR LINE",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
14,AAVIN MILK BHUVANESWARI OPP,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
15,AAVIN MILK JUNCTION,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
16,AAVIN MILK REDDIARPATTI ROAD,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
17,AAVIN PALAKAM(NEAR LIC PALAY),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
18,AAVIN STORE(MURUGANKURICHI),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
19,AAVIN VM CHATHRAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
20,ABDULLAH MART,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
21,ABI STORE(KULAVANIKAPURAM),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
22,ABIRAMI NAMMA TEA KADAI(VAGADI MUKKU TOWN),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
23,ABTHI KADAI(PETTAI MILL),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
24,AFTHI SHOPPING(SOOTHAMALLI),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
25,AJ COOL BAR MELAPALAYAM,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
26,AJ STORE MAHARAJANAGAR(ROSE COMPLEX),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
27,AJMAL SWEETS AND BAKERY(PETTAI)(yusuf),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
28,AKASHINI AND HARISH DEVA STORE(THARUVAI),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
29,AKB SCHOOL CHERANMAHADEVI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
30,AKV TEA HOUSE SAMATHANAPURAM (JAM JAM BRIYANI OPP),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
