id,quantity,pricePerUnit,totalPrice,createdAt,updatedAt,orderId,productId,taxAmount,netAmount,productName
1,1,200.0,200.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,19.0,48.44,248.44,150 ML MIUXED FRUIT(30PCS) CASE
2,5,23.57,117.85,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,3.0,28.55,146.4,1L ORANGE SINGLE
3,1,150.0,150.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,6.0,36.33,186.33,200 ML LEMON CASH 30PCS
4,1,200.0,200.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,17.0,48.44,248.44,200ML MANGO (30PCS) CASE
5,1,150.0,150.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,1.0,36.33,186.33,200ML ORANGE CASE
6,2,150.0,300.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,31.0,72.67,372.67,200ML PANNER SODA(30PCS) CASE
7,2,44.29,88.58,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,4.0,21.46,110.04,2L ORANGE SINGLE
8,1,257.14,257.14,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,7.0,62.28,319.42,500ML LEMON (24PCS) CASE
9,1,257.14,257.14,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,2.0,62.28,319.42,500ML ORANGE CASE
10,2,85.71,171.42,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,28.0,41.52,212.94,750ml INDEPENDENCE WATER (15PCS) CASE
11,1,714.29,714.29,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,27.0,173.02,887.31,CHOCO MILKSHAKE(30PCS) CASE
12,1,150.0,150.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,13.0,36.33,186.33,COKE 200ML(30PCS) CASE
13,1,342.86,342.86,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,12.0,83.05,425.91,COKE TIN(24PCS) CASE
14,7,23.57,164.99,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,8.0,39.96,204.95,LEMON 1L (12 PCS) SINGLE
15,2,44.29,88.58,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,9.0,21.46,110.04,LEMON 2L (9PCS) SINGLE
16,1,342.86,342.86,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,10.0,83.05,425.91,LEMON TIN(24PCS) CASE
17,1,342.86,342.86,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,11.0,83.05,425.91,ORANGE TIN (24PCS) CASE
18,1,150.0,150.0,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,20.0,36.33,186.33,POWER UP 200ML (30PCS) CASE
19,1,365.71,365.71,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,25.0,88.58,454.29,SUNCRUSH MANGO(24PCS) CASE
20,1,365.71,365.71,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,26.0,88.58,454.29,SUNCRUSH MIXED FRUIT (24PCS) CASE
21,1,365.71,365.71,2025-12-15 17:26:00+00,2025-12-15 17:26:00+00,1,24.0,88.58,454.29,SUNCRUSH ORANGE 200ML(24PCS) CASE
22,3,200.0,600.0,2025-12-15 17:45:00+00,2025-12-15 17:45:00+00,2,17.0,30.0,630.0,200ML MANGO (30PCS) CASE
23,45,11.43,514.35,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,29.0,90.23,604.58,1.5l INDEPENDENCE SINGLE
24,1,200.0,200.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,19.0,35.09,235.09,150 ML MIUXED FRUIT(30PCS) CASE
25,1,150.0,150.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,6.0,26.31,176.31,200 ML LEMON CASH 30PCS
26,1,200.0,200.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,17.0,35.09,235.09,200ML MANGO (30PCS) CASE
27,1,150.0,150.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,1.0,26.31,176.31,200ML ORANGE CASE
28,1,150.0,150.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,31.0,26.31,176.31,200ML PANNER SODA(30PCS) CASE
29,5,85.71,428.55,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,28.0,75.18,503.73,750ml INDEPENDENCE WATER (15PCS) CASE
30,1,150.0,150.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,13.0,26.31,176.31,COKE 200ML(30PCS) CASE
31,1,150.0,150.0,2025-12-15 18:08:00+00,2025-12-15 18:08:00+00,3,20.0,26.31,176.31,POWER UP 200ML (30PCS) CASE
32,1,102.86,102.86,2025-12-15 18:10:00+00,2025-12-15 18:10:00+00,4,29.0,27.8,130.66,1.5l INDEPENDENCE CASE
33,1,114.29,114.29,2025-12-15 18:10:00+00,2025-12-15 18:10:00+00,4,30.0,30.89,145.18,1L a Sure water CASE
34,1,257.14,257.14,2025-12-15 18:10:00+00,2025-12-15 18:10:00+00,4,7.0,69.5,326.64,500ML LEMON (24PCS) CASE
35,12,10.71,128.52,2025-12-15 18:10:00+00,2025-12-15 18:10:00+00,4,2.0,34.73,163.25,500ML ORANGE SINGLE
36,1,85.71,85.71,2025-12-15 18:10:00+00,2025-12-15 18:10:00+00,4,28.0,23.16,108.87,750ml INDEPENDENCE WATER (15PCS) CASE
37,12,10.71,128.52,2025-12-15 18:10:00+00,2025-12-15 18:10:00+00,4,14.0,34.73,163.25,COKE 500ML(24PCS) SINGLE
38,1,200.0,200.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,19.0,52.91,252.91,150 ML MIUXED FRUIT(30PCS) CASE
39,2,150.0,300.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,22.0,79.36,379.36,150ML STRAWBERRY KICK(30PCS) CASE
40,2,150.0,300.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,6.0,79.36,379.36,200 ML LEMON CASH 30PCS
41,2,200.0,400.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,17.0,105.81,505.81,200ML MANGO (30PCS) CASE
42,2,150.0,300.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,1.0,79.36,379.36,200ML ORANGE CASE
43,2,150.0,300.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,31.0,79.36,379.36,200ML PANNER SODA(30PCS) CASE
44,3,44.29,132.87,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,4.0,35.15,168.02,2L ORANGE SINGLE
45,1,257.14,257.14,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,7.0,68.02,325.16,500ML LEMON (24PCS) CASE
46,1,257.14,257.14,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,2.0,68.02,325.16,500ML ORANGE CASE
47,1,714.29,714.29,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,27.0,188.95,903.24,CHOCO MILKSHAKE(30PCS) CASE
48,1,282.86,282.86,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,15.0,74.83,357.69,COKE 1L(12PCS) CASE
49,2,150.0,300.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,13.0,79.36,379.36,COKE 200ML(30PCS) CASE
50,3,44.29,132.87,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,16.0,35.15,168.02,COKE 2L(9PCS) SINGLE
51,1,257.14,257.14,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,14.0,68.02,325.16,COKE 500ML(24PCS) CASE
52,1,282.86,282.86,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,8.0,74.83,357.69,LEMON 1L (12 PCS) CASE
53,3,44.29,132.87,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,9.0,35.15,168.02,LEMON 2L (9PCS) SINGLE
54,1,282.86,282.86,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,21.0,74.83,357.69,POWER UP 1L(12PCS) CASE
55,2,150.0,300.0,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,20.0,79.36,379.36,POWER UP 200ML (30PCS) CASE
56,1,365.71,365.71,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,25.0,96.74,462.45,SUNCRUSH MANGO(24PCS) CASE
57,1,365.71,365.71,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,26.0,96.74,462.45,SUNCRUSH MIXED FRUIT (24PCS) CASE
58,1,365.71,365.71,2025-12-15 18:13:00+00,2025-12-15 18:13:00+00,5,24.0,96.74,462.45,SUNCRUSH ORANGE 200ML(24PCS) CASE
59,1,142.86,142.86,2025-12-15 18:14:00+00,2025-12-15 18:14:00+00,6,6.0,57.14,200.0,200 ML LEMON CASH 30PCS
60,1,142.86,142.86,2025-12-15 18:14:00+00,2025-12-15 18:14:00+00,6,13.0,57.14,200.0,COKE 200ML(30PCS) CASE
61,1,157.14,157.14,2025-12-15 18:15:00+00,2025-12-15 18:15:00+00,7,6.0,40.86,198.0,200 ML LEMON CASH 30PCS
62,1,209.52,209.52,2025-12-15 18:15:00+00,2025-12-15 18:15:00+00,7,17.0,54.48,264.0,200ML MANGO (30PCS) CASE
63,1,157.14,157.14,2025-12-15 18:15:00+00,2025-12-15 18:15:00+00,7,13.0,40.86,198.0,COKE 200ML(30PCS) CASE
64,1,150.0,150.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,22.0,53.9,203.9,150ML STRAWBERRY KICK(30PCS) CASE
65,1,200.0,200.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,17.0,71.87,271.87,200ML MANGO (30PCS) CASE
66,1,150.0,150.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,1.0,53.9,203.9,200ML ORANGE CASE
67,1,150.0,150.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,31.0,53.9,203.9,200ML PANNER SODA(30PCS) CASE
68,1,257.14,257.14,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,7.0,92.4,349.54,500ML LEMON (24PCS) CASE
69,1,257.14,257.14,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,2.0,92.4,349.54,500ML ORANGE CASE
70,1,150.0,150.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,13.0,53.9,203.9,COKE 200ML(30PCS) CASE
71,1,257.14,257.14,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,14.0,92.4,349.54,COKE 500ML(24PCS) CASE
72,1,150.0,150.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,8,20.0,53.9,203.9,POWER UP 200ML (30PCS) CASE
73,1,150.0,150.0,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,9,31.0,60.0,210.0,200ML PANNER SODA(30PCS) CASE
74,1,257.14,257.14,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,9,7.0,102.86,360.0,500ML LEMON (24PCS) CASE
75,1,257.14,257.14,2025-12-15 18:17:00+00,2025-12-15 18:17:00+00,9,2.0,102.86,360.0,500ML ORANGE CASE
76,2,114.29,228.58,2025-12-15 18:18:00+00,2025-12-15 18:18:00+00,10,30.0,37.28,265.86,1L a Sure water CASE
77,1,150.0,150.0,2025-12-15 18:18:00+00,2025-12-15 18:18:00+00,10,6.0,24.46,174.46,200 ML LEMON CASH 30PCS
78,1,85.71,85.71,2025-12-15 18:18:00+00,2025-12-15 18:18:00+00,10,28.0,13.98,99.69,750ml INDEPENDENCE WATER (15PCS) CASE
79,1,150.0,150.0,2025-12-15 18:19:00+00,2025-12-15 18:19:00+00,11,6.0,60.0,210.0,200 ML LEMON CASH 30PCS
80,1,150.0,150.0,2025-12-15 18:19:00+00,2025-12-15 18:19:00+00,11,31.0,60.0,210.0,200ML PANNER SODA(30PCS) CASE
81,2,114.29,228.58,2025-12-15 18:22:00+00,2025-12-15 18:22:00+00,12,30.0,11.44,240.02,1L a Sure water CASE
82,1,190.48,190.48,2025-12-15 18:23:00+00,2025-12-15 18:23:00+00,13,19.0,38.09,228.57,150 ML MIUXED FRUIT(30PCS) CASE
83,1,142.86,142.86,2025-12-15 18:23:00+00,2025-12-15 18:23:00+00,13,31.0,28.57,171.43,200ML PANNER SODA(30PCS) CASE
84,1,142.86,142.86,2025-12-15 18:23:00+00,2025-12-15 18:23:00+00,14,13.0,57.14,200.0,COKE 200ML(30PCS) CASE
85,1,114.29,114.29,2025-12-15 18:24:00+00,2025-12-15 18:24:00+00,15,30.0,5.72,120.01,1L a Sure water CASE
86,3,85.71,257.13,2025-12-15 18:24:00+00,2025-12-15 18:24:00+00,15,28.0,12.86,269.99,750ml INDEPENDENCE WATER (15PCS) CASE
87,1,85.71,85.71,2025-12-15 18:24:00+00,2025-12-15 18:24:00+00,16,28.0,4.3,90.01,750ml INDEPENDENCE WATER (15PCS) CASE
